price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
5085000,8920,4,3,2,no,no,yes,no,no,1,yes,semi-furnished
3134000,2510,3,3,1,yes,no,yes,no,yes,0,no,semi-furnished
4418000,7040,4,1,1,yes,no,yes,no,yes,3,no,furnished
6754000,15068,5,2,4,yes,no,yes,no,no,3,no,semi-furnished
3181000,6841,2,1,1,yes,no,no,no,yes,0,no,semi-furnished
6277000,13614,4,3,1,yes,no,no,no,no,3,no,furnished
5428000,12934,2,1,2,yes,yes,yes,no,no,3,no,semi-furnished
4228000,7384,3,1,3,no,no,no,no,no,3,no,furnished
4052000,7915,1,2,1,yes,no,yes,no,yes,1,no,semi-furnished
3143000,2116,3,2,3,yes,no,yes,no,no,3,no,furnished
6317000,15176,4,3,1,yes,yes,no,no,no,3,no,furnished
3321000,6076,2,1,1,yes,yes,no,no,yes,3,no,furnished
4883000,7228,2,1,4,yes,no,no,yes,yes,1,no,furnished
8093000,16073,5,1,4,yes,yes,yes,no,yes,0,no,unfurnished
6219000,13286,2,3,4,yes,no,no,yes,no,2,no,furnished
6581000,13013,5,3,3,yes,yes,no,no,no,3,yes,semi-furnished
5042000,12761,1,2,2,yes,no,no,no,yes,0,no,furnished
4521000,9972,4,2,1,yes,no,no,no,no,3,no,semi-furnished
4094000,3335,5,2,1,no,no,no,no,yes,1,yes,unfurnished
2067000,2419,1,1,1,yes,no,yes,no,no,0,yes,furnished
5724000,12233,2,1,3,yes,yes,yes,yes,yes,1,no,unfurnished
6317000,15453,2,2,4,yes,yes,yes,no,no,3,no,furnished
3867000,8599,1,1,2,no,no,yes,no,no,3,no,unfurnished
3144000,4083,2,2,3,no,no,no,no,no,1,yes,semi-furnished
4335000,6961,1,3,4,yes,no,no,no,yes,2,no,unfurnished
4668000,6701,5,2,3,yes,no,no,no,yes,1,yes,semi-furnished
5781000,8070,5,3,2,yes,no,yes,no,no,3,no,semi-furnished
3372000,2834,1,1,4,yes,no,no,no,yes,1,yes,furnished
5042000,6205,5,2,3,yes,no,no,no,yes,2,yes,furnished
4301000,5035,5,1,2,yes,yes,no,no,yes,1,yes,unfurnished
6698000,13959,5,3,1,yes,no,no,no,no,2,no,semi-furnished
4443000,8046,3,3,2,yes,no,no,no,no,2,yes,semi-furnished
5913000,14685,4,3,1,yes,no,no,no,no,1,no,unfurnished
5769000,12746,2,1,3,yes,yes,yes,no,yes,1,no,semi-furnished
4691000,10316,3,1,4,yes,no,no,yes,yes,0,no,unfurnished
5315000,10924,5,1,4,yes,no,yes,no,no,3,no,unfurnished
3521000,4208,1,1,3,yes,no,yes,no,no,2,no,semi-furnished
6629000,9499,5,3,4,yes,no,yes,no,yes,0,yes,unfurnished
4299000,3697,4,3,4,yes,no,no,no,no,1,no,furnished
3914000,4397,5,2,1,no,no,no,yes,yes,3,yes,furnished
4918000,10817,1,2,3,yes,yes,no,no,no,0,yes,semi-furnished
4897000,11648,4,1,2,yes,no,yes,no,yes,2,no,furnished
3433000,1839,5,3,1,yes,yes,no,no,no,0,no,unfurnished
4435000,4384,4,3,3,yes,no,no,no,no,2,no,unfurnished
3947000,4655,2,3,1,yes,no,no,yes,no,1,no,semi-furnished
4969000,6308,2,2,2,yes,yes,no,no,yes,3,no,semi-furnished
4106000,3549,5,2,2,no,no,yes,yes,no,3,yes,unfurnished
6619000,9384,4,3,3,yes,yes,yes,no,no,3,yes,semi-furnished
3149000,2917,1,3,2,no,no,no,no,yes,1,yes,semi-furnished
2888000,3178,5,3,1,no,no,yes,no,no,2,yes,semi-furnished
5605000,13044,2,2,2,yes,no,no,no,no,1,no,unfurnished
2680000,5206,2,3,1,no,yes,no,no,no,3,no,semi-furnished
4303000,5540,5,3,1,yes,no,no,no,no,1,yes,unfurnished
5604000,10488,4,1,2,yes,no,yes,no,yes,1,no,unfurnished
6231000,16006,2,1,3,yes,no,yes,no,no,1,no,semi-furnished
7144000,12730,4,2,4,no,no,yes,no,yes,2,no,semi-furnished
5802000,16152,2,3,2,no,yes,no,yes,no,0,yes,unfurnished
4028000,7043,2,3,1,yes,no,no,no,no,0,yes,semi-furnished
5376000,12277,3,1,1,yes,yes,yes,no,no,1,yes,unfurnished
4673000,10442,2,2,2,yes,no,no,no,yes,0,yes,unfurnished
4640000,12205,1,1,3,yes,no,no,no,yes,0,no,semi-furnished
5638000,11903,5,1,3,yes,yes,yes,no,no,1,yes,unfurnished
4431000,10083,5,1,1,yes,yes,no,yes,no,1,no,unfurnished
5078000,11883,4,1,1,yes,yes,no,no,no,3,no,unfurnished
5525000,12666,2,3,3,yes,no,yes,no,no,0,no,semi-furnished
4918000,9163,1,3,4,no,no,yes,no,no,2,no,furnished
4275000,4262,4,1,2,yes,no,no,yes,yes,1,yes,semi-furnished
5105000,8691,3,2,1,yes,yes,no,no,yes,3,no,semi-furnished
5387000,11205,4,2,1,yes,yes,no,no,yes,2,no,semi-furnished
4835000,7885,4,2,3,no,no,no,no,yes,0,yes,unfurnished
4948000,7136,2,2,2,no,yes,yes,yes,no,3,yes,semi-furnished
4615000,8749,3,1,3,yes,no,yes,no,no,1,no,semi-furnished
6274000,11320,4,3,2,yes,no,no,no,no,2,no,furnished
5942000,12398,1,2,2,yes,no,yes,no,yes,1,no,unfurnished
3344000,2425,1,1,2,yes,no,yes,no,yes,0,no,semi-furnished
5217000,13856,5,2,1,yes,no,no,no,yes,2,no,furnished
5808000,9876,3,2,4,yes,yes,no,no,yes,0,yes,furnished
6018000,16191,3,1,3,yes,yes,no,no,no,0,no,unfurnished
5351000,4802,5,3,4,yes,yes,no,no,yes,3,yes,semi-furnished
5927000,11797,4,3,3,yes,no,yes,no,no,1,yes,furnished
3467000,3235,3,1,2,yes,yes,no,no,yes,2,no,unfurnished
2725000,5593,1,3,1,yes,no,yes,no,no,0,no,unfurnished
3963000,9205,1,1,4,no,no,no,no,no,0,no,unfurnished
2872000,4723,2,1,1,yes,no,no,no,yes,2,no,semi-furnished
2068000,2671,3,1,3,no,no,no,no,no,0,no,semi-furnished
6551000,13303,4,3,1,yes,yes,no,no,no,3,yes,unfurnished
5595000,12455,5,1,1,yes,no,no,no,no,3,yes,semi-furnished
8138000,15067,5,2,4,yes,no,yes,no,yes,3,yes,unfurnished
3935000,5493,4,3,2,yes,yes,no,no,no,3,no,furnished
4527000,9639,2,3,1,yes,yes,no,no,no,0,no,semi-furnished
6241000,11342,5,3,2,yes,no,yes,no,no,2,no,furnished
6554000,14640,3,3,3,yes,no,no,no,no,2,no,furnished
4201000,8523,2,2,1,yes,no,no,no,no,2,no,furnished
5724000,7325,3,3,4,yes,no,yes,no,no,2,yes,furnished
2640000,1811,1,3,3,yes,no,no,no,no,1,no,unfurnished
3240000,5947,2,1,3,yes,no,no,no,no,2,no,furnished
6336000,11823,5,3,4,yes,no,no,no,no,1,no,semi-furnished
2401000,2645,2,2,1,yes,no,no,no,no,1,no,unfurnished
6437000,14753,2,2,1,yes,no,no,no,no,3,yes,semi-furnished
5294000,13184,2,2,3,no,no,no,no,no,1,no,furnished
5449000,14393,2,2,1,yes,no,no,no,yes,0,no,unfurnished
5405000,9279,3,3,2,yes,no,yes,no,no,1,yes,semi-furnished
5449000,13640,1,3,4,no,no,no,no,no,3,no,unfurnished
5458000,11117,4,2,2,yes,no,no,no,no,1,no,unfurnished
2258000,2666,2,2,1,yes,no,yes,yes,no,0,no,unfurnished
6419000,9519,5,3,3,yes,no,no,no,yes,0,yes,semi-furnished
4451000,8089,2,2,4,yes,no,no,no,no,0,no,semi-furnished
5220000,9542,5,1,1,yes,yes,yes,no,yes,3,no,semi-furnished
4584000,8513,3,2,1,yes,no,no,no,no,3,no,furnished
5496000,9566,5,2,3,yes,yes,no,no,no,2,no,unfurnished
5477000,10179,4,1,3,yes,no,no,no,no,3,no,furnished
2860000,2528,1,1,2,no,no,yes,no,yes,0,no,semi-furnished
6120000,10918,5,3,4,yes,no,yes,no,no,0,no,unfurnished
5036000,6537,5,3,4,yes,no,no,no,yes,3,no,semi-furnished
5692000,13835,1,1,3,yes,no,no,no,yes,1,yes,semi-furnished
4399000,6509,4,1,2,yes,no,yes,no,yes,3,no,semi-furnished
6028000,7981,2,3,4,yes,no,no,no,yes,3,yes,unfurnished
5123000,10221,5,2,3,yes,no,yes,no,no,0,no,semi-furnished
4234000,10334,1,1,1,yes,yes,yes,no,no,2,no,unfurnished
5904000,8858,3,3,4,no,yes,no,no,yes,0,no,furnished
3640000,6926,1,2,2,yes,no,no,no,no,2,no,unfurnished
3024000,3712,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
6692000,13726,4,2,2,yes,yes,no,no,no,3,yes,furnished
2756000,1714,2,3,1,yes,yes,yes,no,no,0,no,semi-furnished
3858000,9656,1,1,4,yes,yes,no,no,no,0,no,furnished
4521000,4218,5,2,4,yes,no,no,no,no,0,yes,unfurnished
3979000,7113,4,1,1,yes,no,yes,no,no,3,yes,semi-furnished
7090000,15090,1,2,4,yes,no,yes,yes,yes,3,no,semi-furnished
3792000,3677,5,3,1,yes,yes,no,no,no,3,no,furnished
3728000,4345,1,3,1,yes,no,no,no,yes,3,no,furnished
3858000,11337,3,1,1,yes,yes,no,no,no,2,no,furnished
4443000,6908,1,2,2,yes,yes,yes,yes,no,2,yes,semi-furnished
4217000,7268,1,1,4,yes,no,no,no,no,1,no,semi-furnished
4953000,8386,1,1,1,yes,yes,no,yes,yes,3,no,unfurnished
3064000,2041,4,2,4,yes,yes,no,no,no,2,no,semi-furnished
6577000,15636,1,2,2,yes,yes,no,no,yes,0,no,semi-furnished
5884000,14356,5,2,1,yes,yes,no,no,no,3,no,unfurnished
6879000,14316,3,3,3,yes,yes,no,yes,yes,1,no,unfurnished
3657000,7542,3,1,2,no,no,no,no,yes,1,no,unfurnished
3396000,5211,1,1,3,yes,no,no,no,no,1,yes,semi-furnished
5981000,12120,4,3,4,no,no,no,no,no,0,no,furnished
5464000,7834,4,2,4,yes,no,yes,no,yes,2,no,furnished
4337000,4749,5,3,2,yes,yes,no,no,yes,0,no,unfurnished
5419000,7928,1,3,4,yes,no,no,no,no,3,yes,furnished
4839000,10042,3,3,3,yes,no,no,no,no,1,no,semi-furnished
6269000,15801,4,1,1,yes,yes,yes,no,no,0,yes,semi-furnished
6528000,14717,1,3,1,yes,no,yes,no,yes,0,no,semi-furnished
3850000,4754,4,1,1,yes,yes,no,no,yes,2,no,semi-furnished
4730000,8865,4,1,2,yes,no,yes,no,yes,2,no,furnished
5905000,14440,3,1,4,yes,no,no,yes,yes,1,no,semi-furnished
3700000,4104,2,2,3,yes,no,yes,yes,no,0,no,semi-furnished
5390000,13487,5,1,4,yes,no,yes,no,no,0,no,unfurnished
7087000,15689,5,1,4,yes,no,yes,no,yes,2,no,unfurnished
6183000,10646,3,2,4,yes,no,yes,no,yes,0,no,unfurnished
6510000,16084,4,1,1,yes,yes,no,no,yes,0,no,unfurnished
2886000,4381,1,3,3,yes,yes,yes,no,no,0,no,semi-furnished
6888000,15833,4,3,3,no,no,no,no,no,2,yes,furnished
5326000,12615,3,1,4,no,no,no,no,yes,1,no,semi-furnished
5042000,9804,5,2,1,yes,no,no,yes,yes,3,no,semi-furnished
5387000,11412,4,3,1,yes,no,no,no,no,1,no,semi-furnished
4330000,6706,5,2,3,yes,no,no,no,no,3,no,semi-furnished
4046000,9760,1,2,1,yes,no,no,yes,no,0,no,semi-furnished
7355000,15423,5,3,1,yes,no,yes,no,yes,1,yes,semi-furnished
5733000,12532,5,2,1,yes,no,no,no,yes,3,no,semi-furnished
3811000,5490,2,3,2,yes,no,no,no,no,2,no,furnished
2982000,2678,2,2,4,no,no,no,no,yes,2,no,unfurnished
5393000,9035,2,3,3,yes,yes,no,no,yes,1,yes,furnished
3285000,2152,5,1,3,yes,no,no,no,no,1,no,furnished
5728000,8560,3,3,2,yes,yes,no,yes,yes,0,no,semi-furnished
6150000,14335,5,3,4,no,yes,no,no,no,1,yes,semi-furnished
6077000,10712,3,3,3,yes,yes,no,no,yes,0,no,semi-furnished
5756000,8588,3,3,1,yes,no,yes,no,yes,0,yes,furnished
4707000,6138,2,2,3,yes,no,no,yes,no,2,no,semi-furnished
3322000,1856,4,1,1,yes,yes,yes,no,yes,2,no,semi-furnished
3823000,6784,1,3,2,yes,no,yes,no,no,3,no,unfurnished
4059000,7627,2,2,1,yes,no,no,no,no,2,no,unfurnished
4595000,9371,2,1,3,yes,no,yes,no,yes,2,no,semi-furnished
4884000,8685,4,1,3,yes,yes,yes,no,no,1,yes,semi-furnished
3687000,3134,1,1,3,yes,no,yes,no,yes,2,yes,unfurnished
4405000,9508,5,1,2,yes,no,no,no,no,3,no,furnished
3470000,2513,5,3,2,yes,yes,no,no,yes,1,no,semi-furnished
4346000,4440,2,3,4,yes,yes,no,no,no,3,no,semi-furnished
5561000,9058,1,2,3,yes,no,no,no,yes,2,no,unfurnished
5099000,10405,2,2,1,yes,no,no,no,no,3,no,furnished
3974000,6766,3,2,2,no,no,yes,no,no,1,no,semi-furnished
5700000,14033,2,1,3,yes,no,no,no,no,0,no,unfurnished
4672000,7669,2,1,3,yes,no,no,no,yes,3,no,semi-furnished
4382000,3407,5,3,2,yes,no,no,no,yes,3,no,furnished
5865000,9224,5,1,4,yes,yes,yes,no,no,1,yes,unfurnished
3609000,8024,5,1,2,yes,no,no,no,no,1,no,semi-furnished
4965000,8542,3,1,2,yes,no,no,no,yes,3,yes,semi-furnished
3650000,3328,5,2,1,yes,no,yes,no,no,2,yes,furnished
3505000,4892,1,2,1,yes,no,no,no,yes,3,no,semi-furnished
4587000,6286,4,3,4,yes,no,yes,no,no,1,no,semi-furnished
3285000,2709,1,1,3,yes,yes,yes,no,yes,0,no,furnished
3602000,8318,1,1,2,yes,no,no,no,yes,0,no,furnished
7167000,15121,5,3,4,yes,yes,yes,no,no,2,no,unfurnished
5329000,11564,4,1,1,yes,no,no,no,yes,3,yes,furnished
6235000,13156,4,1,2,yes,yes,no,yes,no,0,yes,furnished
4197000,4807,4,2,3,no,yes,yes,no,no,3,yes,semi-furnished
4357000,7565,3,3,1,yes,no,no,no,yes,1,no,unfurnished
6467000,12467,5,3,1,yes,yes,yes,no,yes,0,yes,furnished
5844000,12571,4,3,1,yes,no,yes,no,no,2,no,semi-furnished
6959000,11439,3,3,4,yes,no,yes,no,yes,1,no,furnished
5381000,12902,2,2,3,yes,yes,yes,no,no,2,no,furnished
4006000,4343,2,2,2,yes,yes,yes,no,no,1,yes,furnished
6022000,14733,3,1,4,yes,no,no,no,no,0,no,unfurnished
6144000,14989,3,1,4,yes,no,no,no,yes,2,no,furnished
7732000,15581,5,1,4,yes,no,yes,no,yes,2,no,furnished
3885000,5277,5,1,1,yes,no,no,no,yes,1,no,semi-furnished
5598000,11205,2,2,3,yes,no,no,no,yes,2,yes,unfurnished
5162000,11823,4,3,4,no,no,no,no,no,1,yes,furnished
3867000,7100,2,2,2,yes,no,no,no,no,1,no,semi-furnished
3610000,3313,4,1,3,yes,no,yes,no,yes,1,no,furnished
5130000,11371,4,2,2,no,yes,yes,no,yes,1,no,semi-furnished
5803000,11880,5,3,3,yes,no,no,no,yes,0,no,semi-furnished
4308000,7242,1,3,2,yes,no,no,no,no,1,no,semi-furnished
4954000,13144,1,2,1,yes,no,yes,no,yes,3,no,semi-furnished
5795000,12079,3,2,4,yes,no,no,no,no,2,no,semi-furnished
5486000,9042,5,2,2,yes,no,no,yes,yes,3,no,furnished
6135000,15346,4,1,3,yes,no,no,no,no,0,no,semi-furnished
6167000,15338,1,2,4,yes,no,no,no,no,3,no,furnished
4006000,2956,4,2,4,no,no,no,no,yes,2,yes,unfurnished
6121000,13871,1,2,3,yes,no,no,no,yes,3,yes,unfurnished
4137000,8426,1,3,2,yes,no,no,no,no,0,no,unfurnished
5675000,12517,1,3,1,yes,no,no,no,yes,1,no,unfurnished
6438000,14910,5,1,1,yes,no,yes,no,no,3,yes,semi-furnished
3931000,7514,2,1,2,yes,no,no,no,no,0,yes,unfurnished
4960000,11124,4,3,4,no,no,no,no,no,0,no,furnished
5508000,9176,5,3,4,yes,no,yes,no,no,2,no,semi-furnished
6208000,10551,5,3,4,yes,yes,no,no,yes,2,no,semi-furnished
5446000,7225,5,2,4,yes,no,no,no,yes,3,yes,semi-furnished
4588000,7180,5,2,2,no,yes,no,no,no,1,no,unfurnished
7155000,14586,5,3,4,yes,no,yes,no,yes,0,no,furnished
3808000,6063,3,2,3,yes,no,yes,no,no,3,no,semi-furnished
4716000,5398,4,2,4,yes,yes,no,no,yes,0,no,unfurnished
7137000,15195,5,1,1,no,yes,yes,yes,yes,0,yes,furnished
6401000,14621,4,3,4,yes,no,no,yes,no,1,no,semi-furnished
3867000,2313,3,3,2,no,no,no,no,yes,1,no,unfurnished
3678000,3648,3,2,1,yes,no,yes,yes,no,3,no,semi-furnished
5575000,9644,4,3,2,yes,yes,no,no,no,1,no,semi-furnished
5459000,13287,1,1,2,yes,no,no,no,no,1,no,furnished
5485000,13585,2,1,1,yes,no,no,no,no,3,no,semi-furnished
5398000,15569,1,1,2,yes,no,no,no,no,1,no,unfurnished
3523000,3145,1,3,2,yes,no,no,no,no,2,no,semi-furnished
4190000,4954,1,3,4,yes,no,no,no,yes,0,no,semi-furnished
5089000,5413,5,3,3,yes,yes,no,no,no,0,yes,furnished
4550000,6882,3,3,2,yes,no,no,no,no,0,no,furnished
2139000,3503,1,3,2,no,no,no,no,no,0,no,unfurnished
5882000,15458,3,1,2,no,no,no,no,no,3,no,semi-furnished
